epoch,loss,loss/beta,loss/data,loss/ic,loss/res,lr,step
142,0.049639031291007996,0.04808334633708,0.03387872502207756,5.497257734532468e-05,0.015705332159996033,,6291
,,,,,,0.0005,6292
143,0.056762490421533585,0.04814866557717323,0.02896500937640667,4.359177910373546e-05,0.02775389701128006,,6335
,,,,,,0.0005,6336
144,0.05424812063574791,0.048315104097127914,0.02780766785144806,4.7121116949710995e-05,0.026393331587314606,,6379
,,,,,,0.0005,6380
145,0.05385250970721245,0.048445746302604675,0.026833651587367058,6.2030456319917e-05,0.026956832036376,,6423
,,,,,,0.0005,6424
146,0.04098815843462944,0.04855547845363617,0.027784837409853935,5.462383705889806e-05,0.013148694299161434,,6467
,,,,,,0.0005,6468
147,0.04032658040523529,0.048569902777671814,0.025967828929424286,5.305181912262924e-05,0.014305699616670609,,6511
,,,,,,0.0005,6512
148,0.05313092842698097,0.04862852767109871,0.02436453476548195,5.311392669682391e-05,0.02871328592300415,,6555
,,,,,,0.0005,6556
149,0.06509529054164886,0.048774708062410355,0.024044208228588104,5.4126103350427e-05,0.04099695757031441,,6599
,,,,,,0.0005,6600
150,0.05907604470849037,0.048745181411504745,0.02309737168252468,5.432297621155158e-05,0.035924360156059265,,6643
,,,,,,0.0005,6644
151,0.06088770180940628,0.048777706921100616,0.023592151701450348,5.0907019613077864e-05,0.037244632840156555,,6687
,,,,,,0.0005,6688
152,0.057255640625953674,0.048831451684236526,0.023466818034648895,5.021182732889429e-05,0.03373861312866211,,6731
,,,,,,0.0005,6732
153,0.054630693048238754,0.04884164780378342,0.023125208914279938,4.79239497508388e-05,0.0314575619995594,,6775
,,,,,,0.0005,6776
154,0.05474896728992462,0.04888628423213959,0.02334734983742237,4.6811957872705534e-05,0.03135479614138603,,6819
,,,,,,0.0005,6820
155,0.043231334537267685,0.04895897954702377,0.022570250555872917,4.892376091447659e-05,0.02061215229332447,,6863
,,,,,,0.0005,6864
156,0.039526160806417465,0.048984818160533905,0.02141665667295456,4.997965879738331e-05,0.01805952563881874,,6907
,,,,,,0.0005,6908
157,0.07527190446853638,0.04898189380764961,0.020237484946846962,4.822287883143872e-05,0.05498619005084038,,6951
,,,,,,0.0005,6952
158,0.09788911044597626,0.049016714096069336,0.019918881356716156,4.4055395846953616e-05,0.07792617380619049,,6995
,,,,,,0.0005,6996
159,0.06117682531476021,0.049119774252176285,0.021389687433838844,4.3817864934680983e-05,0.0397433266043663,,7039
,,,,,,0.0005,7040
160,0.03229445219039917,0.04912067949771881,0.02161823958158493,4.265219104127027e-05,0.010633560828864574,,7083
,,,,,,0.0005,7084
161,0.040238071233034134,0.04910658672451973,0.018641911447048187,4.429191176313907e-05,0.021551871672272682,,7127
,,,,,,0.0005,7128
162,0.0613037534058094,0.04933273047208786,0.018365927040576935,5.495460573001765e-05,0.04288286715745926,,7171
,,,,,,0.0005,7172
163,0.056708019226789474,0.049241822212934494,0.01844300702214241,5.1623261242639273e-05,0.03821338713169098,,7215
,,,,,,0.0005,7216
164,0.04802322015166283,0.04923338443040848,0.017580002546310425,5.1650979003170505e-05,0.030391568318009377,,7259
,,,,,,0.0005,7260
165,0.04478892311453819,0.04926105961203575,0.016049379482865334,4.68552352685947e-05,0.028692692518234253,,7303
,,,,,,0.0005,7304
166,0.0404701754450798,0.04948221519589424,0.016619207337498665,5.059219984104857e-05,0.02380036562681198,,7347
,,,,,,0.0005,7348
167,0.03468191251158714,0.049468107521533966,0.0166387427598238,4.887495742877945e-05,0.017994284629821777,,7391
,,,,,,0.0005,7392
168,0.056358691304922104,0.04947754368185997,0.014767374843358994,4.773637556354515e-05,0.041543565690517426,,7435
,,,,,,0.0005,7436
169,0.026304172351956367,0.04948082193732262,0.013825581409037113,4.6383771405089647e-05,0.012432205490767956,,7479
,,,,,,0.0005,7480
170,0.036423809826374054,0.04947773739695549,0.013444436714053154,4.349718801677227e-05,0.02293587103486061,,7523
,,,,,,0.0005,7524
171,0.02423025481402874,0.049489185214042664,0.012744438834488392,4.267499389243312e-05,0.011443143710494041,,7567
,,,,,,0.0005,7568
172,0.024486834183335304,0.04953749477863312,0.012050611898303032,4.352329779067077e-05,0.012392704375088215,,7611
,,,,,,0.0005,7612
173,0.0324336476624012,0.049562178552150726,0.011775990016758442,4.429496038937941e-05,0.02061336301267147,,7655
,,,,,,0.0005,7656
174,0.049675073474645615,0.049581900238990784,0.011781948618590832,4.3659834773279727e-05,0.037849463522434235,,7699
,,,,,,0.0005,7700
175,0.03865126147866249,0.04958321526646614,0.011747673153877258,4.0159127820516005e-05,0.026863422244787216,,7743
,,,,,,0.0005,7744
176,0.053067196160554886,0.049587640911340714,0.010945015586912632,3.9734797610435635e-05,0.04208243265748024,,7787
,,,,,,0.0005,7788
177,0.04236564040184021,0.04967170208692551,0.011217612773180008,4.107474524062127e-05,0.03110695257782936,,7831
,,,,,,0.0005,7832
