t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
6.080402e-01,1.055085e+02,1.945551e+01,8.069502e+01,2.685061e+01,2.029552e-02,2.000000e-02
6.130653e-01,1.085689e+02,2.152521e+01,7.938151e+01,2.892556e+01,2.029552e-02,2.000000e-02
6.180905e-01,1.102547e+02,2.621161e+01,7.726015e+01,3.101423e+01,2.029552e-02,2.000000e-02
6.231156e-01,1.070026e+02,3.089723e+01,7.440649e+01,3.303427e+01,2.029552e-02,2.000000e-02
6.281407e-01,1.035653e+02,3.575086e+01,7.095117e+01,3.489771e+01,2.029552e-02,2.000000e-02
6.331658e-01,9.800268e+01,4.007911e+01,6.706005e+01,3.652171e+01,2.029552e-02,2.000000e-02
6.381910e-01,8.971751e+01,4.468391e+01,6.290969e+01,3.783862e+01,2.029552e-02,2.000000e-02
6.432161e-01,8.069118e+01,4.846292e+01,5.867139e+01,3.880236e+01,2.029552e-02,2.000000e-02
6.482412e-01,7.217912e+01,5.155527e+01,5.449899e+01,3.939045e+01,2.029552e-02,2.000000e-02
6.532663e-01,6.051164e+01,5.338046e+01,5.051571e+01,3.960170e+01,2.029552e-02,2.000000e-02
6.582915e-01,5.311369e+01,5.489787e+01,4.681031e+01,3.945265e+01,2.029552e-02,2.000000e-02
6.633165e-01,4.443913e+01,5.404094e+01,4.344329e+01,3.897302e+01,2.029552e-02,2.000000e-02
6.683417e-01,3.811052e+01,5.342238e+01,4.044827e+01,3.820189e+01,2.029552e-02,2.000000e-02
6.733668e-01,3.545490e+01,5.233382e+01,3.783323e+01,3.718444e+01,2.029552e-02,2.000000e-02
6.783919e-01,3.087750e+01,4.873069e+01,3.558831e+01,3.596905e+01,2.029552e-02,2.000000e-02
6.834171e-01,2.775380e+01,4.636758e+01,3.369561e+01,3.460474e+01,2.029552e-02,2.000000e-02
6.884422e-01,2.469086e+01,4.386488e+01,3.213480e+01,3.313897e+01,2.029552e-02,2.000000e-02
6.934673e-01,2.176643e+01,4.117059e+01,3.088385e+01,3.161558e+01,2.029552e-02,2.000000e-02
6.984924e-01,1.777324e+01,3.827671e+01,2.991885e+01,3.007325e+01,2.029552e-02,2.000000e-02
7.035176e-01,1.817720e+01,3.599242e+01,2.921505e+01,2.854454e+01,2.029552e-02,2.000000e-02
7.085427e-01,1.906888e+01,3.284303e+01,2.874886e+01,2.705567e+01,2.029552e-02,2.000000e-02
7.135678e-01,1.748612e+01,3.003975e+01,2.849966e+01,2.562657e+01,2.029552e-02,2.000000e-02
7.185930e-01,1.680779e+01,2.841586e+01,2.845092e+01,2.427150e+01,2.029552e-02,2.000000e-02
7.236181e-01,1.818418e+01,2.549194e+01,2.859060e+01,2.300004e+01,2.029552e-02,2.000000e-02
7.286432e-01,1.730474e+01,2.417734e+01,2.891062e+01,2.181781e+01,2.029552e-02,2.000000e-02
7.336684e-01,1.619087e+01,2.328645e+01,2.940597e+01,2.072740e+01,2.029552e-02,2.000000e-02
7.386935e-01,1.790559e+01,1.914004e+01,3.007339e+01,1.972929e+01,2.029552e-02,2.000000e-02
7.437186e-01,1.806315e+01,1.835836e+01,3.091028e+01,1.882237e+01,2.029552e-02,2.000000e-02
7.487438e-01,1.885396e+01,1.713040e+01,3.191377e+01,1.800456e+01,2.029552e-02,2.000000e-02
7.537689e-01,2.063725e+01,1.579352e+01,3.308038e+01,1.727331e+01,2.029552e-02,2.000000e-02
7.587940e-01,2.177239e+01,1.474234e+01,3.440675e+01,1.662584e+01,2.029552e-02,2.000000e-02
7.638191e-01,2.075514e+01,1.469829e+01,3.589081e+01,1.605955e+01,2.029552e-02,2.000000e-02
7.688442e-01,2.334058e+01,1.304719e+01,3.753305e+01,1.557224e+01,2.029552e-02,2.000000e-02
7.738693e-01,2.588269e+01,1.141360e+01,3.933665e+01,1.516229e+01,2.029552e-02,2.000000e-02
7.788945e-01,2.719225e+01,1.126000e+01,4.130639e+01,1.482890e+01,2.029552e-02,2.000000e-02
7.839196e-01,2.810357e+01,1.061329e+01,4.344558e+01,1.457225e+01,2.029552e-02,2.000000e-02
7.889447e-01,3.091992e+01,9.163940e+00,4.575311e+01,1.439371e+01,2.029552e-02,2.000000e-02
7.939699e-01,3.221476e+01,1.011411e+01,4.822132e+01,1.429594e+01,2.029552e-02,2.000000e-02
7.989950e-01,3.528407e+01,9.421304e+00,5.083619e+01,1.428308e+01,2.029552e-02,2.000000e-02
8.040201e-01,3.956584e+01,9.088268e+00,5.357933e+01,1.436083e+01,2.029552e-02,2.000000e-02
8.090453e-01,4.310644e+01,8.823080e+00,5.642931e+01,1.453661e+01,2.029552e-02,2.000000e-02
8.140703e-01,4.617636e+01,9.292397e+00,5.936050e+01,1.481944e+01,2.029552e-02,2.000000e-02
8.190954e-01,4.890823e+01,9.318625e+00,6.233898e+01,1.521993e+01,2.029552e-02,2.000000e-02
8.241206e-01,5.495029e+01,8.416147e+00,6.531760e+01,1.575002e+01,2.029552e-02,2.000000e-02
8.291457e-01,6.001981e+01,9.710865e+00,6.823276e+01,1.642240e+01,2.029552e-02,2.000000e-02
8.341708e-01,6.377843e+01,1.005261e+01,7.100439e+01,1.724981e+01,2.029552e-02,2.000000e-02
8.391960e-01,6.902563e+01,9.499642e+00,7.353873e+01,1.824382e+01,2.029552e-02,2.000000e-02
8.442211e-01,7.382984e+01,9.791509e+00,7.573376e+01,1.941313e+01,2.029552e-02,2.000000e-02
8.492462e-01,8.024993e+01,9.754699e+00,7.748614e+01,2.076166e+01,2.029552e-02,2.000000e-02
8.542713e-01,8.522475e+01,1.223622e+01,7.869748e+01,2.228602e+01,2.029552e-02,2.000000e-02
8.592965e-01,9.172430e+01,1.223613e+01,7.927931e+01,2.397280e+01,2.029552e-02,2.000000e-02
8.643216e-01,9.662479e+01,1.380673e+01,7.915862e+01,2.579597e+01,2.029552e-02,2.000000e-02
8.693467e-01,9.863435e+01,1.670304e+01,7.828634e+01,2.771549e+01,2.029552e-02,2.000000e-02
8.743719e-01,1.048866e+02,1.802432e+01,7.665096e+01,2.967693e+01,2.029552e-02,2.000000e-02
8.793970e-01,1.077139e+02,2.054177e+01,7.429332e+01,3.161357e+01,2.029552e-02,2.000000e-02
8.844221e-01,1.095054e+02,2.521101e+01,7.131074e+01,3.345117e+01,2.029552e-02,2.000000e-02
8.894473e-01,1.082455e+02,2.851266e+01,6.784271e+01,3.511452e+01,2.029552e-02,2.000000e-02
8.944724e-01,1.045889e+02,3.270974e+01,6.404581e+01,3.653432e+01,2.029552e-02,2.000000e-02
