x,t,u_pred,u_true,error,D_pred,D_true
3.673469e-01,3.673469e-01,5.997041e-01,5.949855e-01,4.718661e-03,1.258237e-01,1.370139e-01
3.673469e-01,3.877551e-01,5.872787e-01,6.065389e-01,1.926023e-02,1.266093e-01,1.370139e-01
3.673469e-01,4.081632e-01,5.751294e-01,5.938910e-01,1.876158e-02,1.273148e-01,1.370139e-01
3.673469e-01,4.285714e-01,5.632441e-01,5.487813e-01,1.446277e-02,1.278409e-01,1.370139e-01
3.673469e-01,4.489796e-01,5.516174e-01,5.557921e-01,4.174650e-03,1.281219e-01,1.370139e-01
3.673469e-01,4.693877e-01,5.402533e-01,5.366278e-01,3.625512e-03,1.281525e-01,1.370139e-01
3.673469e-01,4.897959e-01,5.291636e-01,5.440590e-01,1.489538e-02,1.279693e-01,1.370139e-01
3.673469e-01,5.102041e-01,5.183660e-01,5.166365e-01,1.729488e-03,1.276132e-01,1.370139e-01
3.673469e-01,5.306122e-01,5.078771e-01,5.262686e-01,1.839155e-02,1.271138e-01,1.370139e-01
3.673469e-01,5.510204e-01,4.977072e-01,4.901842e-01,7.522970e-03,1.264811e-01,1.370139e-01
3.673469e-01,5.714286e-01,4.878560e-01,4.880859e-01,2.298653e-04,1.256899e-01,1.370139e-01
3.673469e-01,5.918368e-01,4.783098e-01,4.903807e-01,1.207086e-02,1.247945e-01,1.370139e-01
3.673469e-01,6.122449e-01,4.690423e-01,4.734746e-01,4.432231e-03,1.239807e-01,1.370139e-01
3.673469e-01,6.326531e-01,4.600191e-01,4.583923e-01,1.626730e-03,1.233619e-01,1.370139e-01
3.673469e-01,6.530612e-01,4.512024e-01,4.560158e-01,4.813433e-03,1.229434e-01,1.370139e-01
3.673469e-01,6.734694e-01,4.425573e-01,4.462034e-01,3.646135e-03,1.227254e-01,1.370139e-01
3.673469e-01,6.938776e-01,4.340567e-01,4.345284e-01,4.716814e-04,1.227415e-01,1.370139e-01
