epoch,loss,loss/bc_bottom,loss/bc_left,loss/bc_right,loss/bc_top,loss/pde_residual,lr,step
70,0.01050687488168478,0.000558412924874574,0.0005833164905197918,0.0005778853083029389,0.0005873139016330242,0.00819995068013668,,31949
,,,,,,,0.001,31950
71,0.01366486307233572,0.0010846472578123212,0.0011228551156818867,0.0011403636308386922,0.001170091680251062,0.009146904572844505,,32399
,,,,,,,0.001,32400
72,0.013238251209259033,0.0005863438709639013,0.000626750523224473,0.0006419439450837672,0.0006439305725507438,0.010739288292825222,,32849
,,,,,,,0.001,32850
73,0.010920871049165726,0.0004910508287139237,0.0005039344541728497,0.0005028136074542999,0.0005249464302323759,0.008898125030100346,,33299
,,,,,,,0.001,33300
74,0.013310014270246029,0.000884775654412806,0.0009264420950785279,0.0009334392962045968,0.0009611219284124672,0.00960423145443201,,33749
,,,,,,,0.001,33750
75,0.013362571597099304,0.0009671166772022843,0.0010153921321034431,0.0010340290609747171,0.0010469121625646949,0.009299117140471935,,34199
,,,,,,,0.001,34200
76,0.010667933151125908,0.000577004044316709,0.000594870769418776,0.0005949402111582458,0.0006079933373257518,0.008293121121823788,,34649
,,,,,,,0.001,34650
77,0.008466403931379318,0.0003486071072984487,0.00036811933387070894,0.00037638115463778377,0.0003770110779441893,0.006996286101639271,,35099
,,,,,,,0.001,35100
78,0.010612016543745995,0.00043227255810052156,0.00045605917694047093,0.0004601352848112583,0.00047131377505138516,0.008792245760560036,,35549
,,,,,,,0.001,35550
79,0.011269197799265385,0.0008475868380628526,0.0008768601692281663,0.0009025721228681505,0.000899989390745759,0.007742186542600393,,35999
,,,,,,,0.001,36000
80,0.008972776122391224,0.0003407737531233579,0.0003601517528295517,0.00036271940916776657,0.0003674590843729675,0.007541670463979244,,36449
,,,,,,,0.001,36450
81,0.008245572447776794,0.00036408810410648584,0.00037866862840019166,0.00037887878715991974,0.000380094104912132,0.0067438422702252865,,36899
,,,,,,,0.001,36900
82,0.009100834839046001,0.0005251346156001091,0.0005528373294509947,0.0005503038410097361,0.0005608911742456257,0.006911669857800007,,37349
,,,,,,,0.001,37350
83,0.011662730015814304,0.0009814330842345953,0.0010143377585336566,0.0010250394698232412,0.00104321853723377,0.007598702795803547,,37799
,,,,,,,0.001,37800
84,0.009111396037042141,0.0003219449718017131,0.00033951253863051534,0.00034470585524104536,0.0003513606498017907,0.007753877434879541,,38249
,,,,,,,0.001,38250
85,0.01159894559532404,0.0009276612545363605,0.0009554486023262143,0.0009929538937285542,0.0010021764319390059,0.0077207088470458984,,38699
,,,,,,,0.001,38700
86,0.009968658909201622,0.0005338712362572551,0.0005667629884555936,0.0005521726561710238,0.0005783025408163667,0.007737548090517521,,39149
,,,,,,,0.001,39150
87,0.010577445849776268,0.0006167684914544225,0.0006388112669810653,0.0006543528288602829,0.0006590914563275874,0.008008417673408985,,39599
,,,,,,,0.001,39600
88,0.0108786690980196,0.00046833083615638316,0.0005037903320044279,0.0004889122792519629,0.0005072182975709438,0.008910411968827248,,40049
,,,,,,,0.001,40050
89,0.009588050656020641,0.0006443407037295401,0.0006608903640881181,0.0006766732549294829,0.0006740070530213416,0.006932142190635204,,40499
,,,,,,,0.001,40500
90,0.008696279488503933,0.0003378670662641525,0.00035826716339215636,0.0003711285535246134,0.0003805209998972714,0.007248500362038612,,40949
,,,,,,,0.001,40950
91,0.00728127546608448,0.0002780815993901342,0.0002948879555333406,0.0002973082009702921,0.0003097441513091326,0.0061012511141598225,,41399
,,,,,,,0.001,41400
92,0.009641529060900211,0.000662432168610394,0.0006787285674363375,0.0006910138763487339,0.0007053589797578752,0.006903994828462601,,41849
,,,,,,,0.001,41850
93,0.008748136460781097,0.0005029069143347442,0.0005295504233799875,0.000538193853572011,0.0005629692459478974,0.006614520214498043,,42299
,,,,,,,0.001,42300
94,0.00898245070129633,0.0003714818158186972,0.00039629844832234085,0.00039379566442221403,0.00039964704774320126,0.007421228569000959,,42749
,,,,,,,0.001,42750
95,0.011558450758457184,0.0007311601657420397,0.0007607577135786414,0.0007896883762441576,0.0007980004302226007,0.008478841744363308,,43199
,,,,,,,0.001,43200
96,0.010637984611093998,0.0007955984910950065,0.0008322775247506797,0.0008549517951905727,0.0008605564944446087,0.007294602692127228,,43649
,,,,,,,0.001,43650
97,0.009809843264520168,0.00043418974382802844,0.0004509759892243892,0.0004584244452416897,0.0004677876131609082,0.007998457178473473,,44099
,,,,,,,0.001,44100
98,0.010948891751468182,0.0009991107508540154,0.001026949379593134,0.0010473422007635236,0.0010580940870568156,0.006817393470555544,,44549
,,,,,,,0.001,44550
99,0.00803837738931179,0.000301459280308336,0.0003095660067629069,0.0003252052702009678,0.0003275270282756537,0.006774612702429295,,44999
,,,,,,,0.001,45000
100,0.00754712987691164,0.0003270244924351573,0.00034820116707123816,0.0003549106477294117,0.00036386356805451214,0.0061531285755336285,,45449
,,,,,,,0.001,45450
101,0.007410593330860138,0.00029947570874355733,0.00031254204805009067,0.0003232299059163779,0.00032464953255839646,0.006150695960968733,,45899
,,,,,,,0.001,45900
102,0.010270267724990845,0.0008528574253432453,0.0008886693394742906,0.0009002750739455223,0.0009162243804894388,0.006712246686220169,,46349
,,,,,,,0.001,46350
103,0.006894133519381285,0.0002992091467604041,0.0003068338555749506,0.0003148124669678509,0.0003245275584049523,0.0056487503461539745,,46799
,,,,,,,0.001,46800
104,0.008851735852658749,0.0005964686279185116,0.0006202791118994355,0.0006460282020270824,0.0006454885588027537,0.006343475542962551,,47249
,,,,,,,0.001,47250
105,0.008615491911768913,0.00033889224869199097,0.0003679622313939035,0.0003726290597114712,0.0003774054057430476,0.007158605847507715,,47699
,,,,,,,0.001,47700
106,0.00883517786860466,0.0004424918442964554,0.00047140661627054214,0.0004674087977036834,0.00048465808504261076,0.0069692134857177734,,48149
,,,,,,,0.001,48150
107,0.006983846426010132,0.0004129428998567164,0.00044301667367108166,0.00044161759433336556,0.00045826181303709745,0.005228005349636078,,48599
,,,,,,,0.001,48600
108,0.007806126959621906,0.0005955116357654333,0.0006293131737038493,0.0006339814863167703,0.0006451471126638353,0.0053021712228655815,,49049
,,,,,,,0.001,49050
109,0.007326469291001558,0.0002439644158584997,0.00025188643485307693,0.00026124308351427317,0.00026012977468781173,0.006309246178716421,,49499
,,,,,,,0.001,49500
110,0.008260163478553295,0.0005430635064840317,0.0005734359147027135,0.0005738993640989065,0.0005952436476945877,0.0059745172038674355,,49949
,,,,,,,0.001,49950
111,0.007178560830652714,0.00030411090119741857,0.000315726560074836,0.0003167597751598805,0.0003349817998241633,0.005906985141336918,,50399
,,,,,,,0.001,50400
112,0.008942981250584126,0.0006441420991905034,0.0006599880871362984,0.0006759922835044563,0.0006816386594437063,0.006281217094510794,,50849
,,,,,,,0.001,50850
