epoch,loss,loss/D_u,loss/D_v,loss/F,loss/bc_bottom_u,loss/bc_bottom_v,loss/bc_left_u,loss/bc_left_v,loss/bc_right_u,loss/bc_right_v,loss/bc_top_u,loss/bc_top_v,loss/data,loss/ic_u,loss/ic_v,loss/k,loss/pde_u,loss/pde_v,loss/smma,lr,step
,,,,,,,,,,,,,,,,,,,,0.000999516950871723,2646
42,0.1171390488743782,0.38319581747055054,0.02429569698870182,1.5696450471878052,3.6996312701376155e-05,1.657495704421308e-05,7.54740831325762e-05,7.2443494900653604e-06,0.00012246181722730398,1.0175575880566612e-05,3.324271892779507e-05,1.114480801334139e-05,0.004977320320904255,0.08502092212438583,0.02354453317821026,1.0458476543426514,0.002872495912015438,0.0004104497784283012,0.8432511687278748,,2708
,,,,,,,,,,,,,,,,,,,,0.000999493678628027,2709
43,0.13922977447509766,0.42304423451423645,0.02685178630053997,1.6264195442199707,3.015486799995415e-05,1.2098023944417946e-05,3.5512104659574106e-05,6.003718226565979e-06,2.9923214242444374e-05,1.0389981071057264e-05,7.723259477643296e-05,9.038395546667743e-06,0.0053209420293569565,0.09743618220090866,0.027696100994944572,1.0783822536468506,0.007401772774755955,0.0011644141050055623,0.8080500960350037,,2771
,,,,,,,,,,,,,,,,,,,,0.0009994698591765804,2772
44,0.13212136924266815,0.4584399461746216,0.029175611212849617,1.6902209520339966,8.151759539032355e-05,8.714203431736678e-06,9.237075573764741e-05,4.081496626895387e-06,6.59180004731752e-05,5.622742719424423e-06,0.00018776925571728498,5.101021542941453e-06,0.00605085538700223,0.09277299046516418,0.026348190382122993,1.1266483068466187,0.005811068695038557,0.0006871595978736877,0.7742536664009094,,2834
,,,,,,,,,,,,,,,,,,,,0.0009994454925435039,2835
45,0.12339281290769577,0.48957231640815735,0.029807528480887413,1.7695344686508179,4.965461994288489e-05,8.361207619600464e-06,6.756782386219129e-05,3.840673343802337e-06,4.876172897638753e-05,4.683808583649807e-06,0.00013634680362883955,5.720322860724991e-06,0.005488306749612093,0.08480403572320938,0.030298935249447823,1.213944911956787,0.0016576815396547318,0.000818907399661839,0.7417106032371521,,2897
,,,,,,,,,,,,,,,,,,,,0.0009994205787555185,2898
46,0.12382908165454865,0.5377930998802185,0.0312868170440197,1.8497600555419922,6.563085480593145e-05,1.364551735605346e-05,9.279404184781015e-05,6.540898084494984e-06,7.827586523490027e-05,9.683994903753046e-06,0.00014502520207315683,9.758100532053504e-06,0.004092665389180183,0.08506835997104645,0.026473158970475197,1.2761406898498535,0.007247546222060919,0.0005260076140984893,0.7108165621757507,,2960
