t,x_obs,y_obs,x_pred,y_pred,beta_pred,beta_true
7.537689e-01,1.983602e+01,1.623312e+01,3.308038e+01,1.727331e+01,2.029552e-02,2.000000e-02
7.587940e-01,1.973619e+01,1.392110e+01,3.440675e+01,1.662584e+01,2.029552e-02,2.000000e-02
7.638191e-01,2.278580e+01,1.389176e+01,3.589081e+01,1.605955e+01,2.029552e-02,2.000000e-02
7.688442e-01,2.293722e+01,1.344757e+01,3.753305e+01,1.557224e+01,2.029552e-02,2.000000e-02
7.738693e-01,2.518789e+01,1.204179e+01,3.933665e+01,1.516229e+01,2.029552e-02,2.000000e-02
7.788945e-01,2.707388e+01,1.106862e+01,4.130639e+01,1.482890e+01,2.029552e-02,2.000000e-02
7.839196e-01,2.900872e+01,1.074084e+01,4.344558e+01,1.457225e+01,2.029552e-02,2.000000e-02
7.889447e-01,3.079827e+01,1.010289e+01,4.575311e+01,1.439371e+01,2.029552e-02,2.000000e-02
7.939699e-01,3.385299e+01,8.356426e+00,4.822132e+01,1.429594e+01,2.029552e-02,2.000000e-02
7.989950e-01,3.473054e+01,8.505349e+00,5.083619e+01,1.428308e+01,2.029552e-02,2.000000e-02
8.040201e-01,3.919888e+01,9.191319e+00,5.357933e+01,1.436083e+01,2.029552e-02,2.000000e-02
8.090453e-01,4.099784e+01,9.100626e+00,5.642931e+01,1.453661e+01,2.029552e-02,2.000000e-02
8.140703e-01,4.469131e+01,8.746624e+00,5.936050e+01,1.481944e+01,2.029552e-02,2.000000e-02
8.190954e-01,5.075824e+01,8.203678e+00,6.233898e+01,1.521993e+01,2.029552e-02,2.000000e-02
8.241206e-01,5.343024e+01,9.105747e+00,6.531760e+01,1.575002e+01,2.029552e-02,2.000000e-02
8.291457e-01,5.811338e+01,8.842466e+00,6.823276e+01,1.642240e+01,2.029552e-02,2.000000e-02
8.341708e-01,6.423500e+01,9.285584e+00,7.100439e+01,1.724981e+01,2.029552e-02,2.000000e-02
8.391960e-01,6.852489e+01,9.179688e+00,7.353873e+01,1.824382e+01,2.029552e-02,2.000000e-02
8.442211e-01,7.641422e+01,1.012155e+01,7.573376e+01,1.941313e+01,2.029552e-02,2.000000e-02
8.492462e-01,8.096827e+01,1.092487e+01,7.748614e+01,2.076166e+01,2.029552e-02,2.000000e-02
8.542713e-01,8.622544e+01,1.124054e+01,7.869748e+01,2.228602e+01,2.029552e-02,2.000000e-02
8.592965e-01,9.247675e+01,1.248741e+01,7.927931e+01,2.397280e+01,2.029552e-02,2.000000e-02
8.643216e-01,9.844247e+01,1.383159e+01,7.915862e+01,2.579597e+01,2.029552e-02,2.000000e-02
8.693467e-01,1.019749e+02,1.645776e+01,7.828634e+01,2.771549e+01,2.029552e-02,2.000000e-02
8.743719e-01,1.062280e+02,1.809442e+01,7.665096e+01,2.967693e+01,2.029552e-02,2.000000e-02
8.793970e-01,1.090769e+02,2.112225e+01,7.429332e+01,3.161357e+01,2.029552e-02,2.000000e-02
8.844221e-01,1.079345e+02,2.510858e+01,7.131074e+01,3.345117e+01,2.029552e-02,2.000000e-02
8.894473e-01,1.065707e+02,2.884074e+01,6.784271e+01,3.511452e+01,2.029552e-02,2.000000e-02
8.944724e-01,1.048341e+02,3.369202e+01,6.404581e+01,3.653432e+01,2.029552e-02,2.000000e-02
8.994974e-01,9.943505e+01,3.791947e+01,6.007524e+01,3.765364e+01,2.029552e-02,2.000000e-02
9.045227e-01,9.263484e+01,4.220277e+01,5.607912e+01,3.843205e+01,2.029552e-02,2.000000e-02
9.095477e-01,8.360863e+01,4.657954e+01,5.219219e+01,3.884781e+01,2.029552e-02,2.000000e-02
9.145728e-01,7.408591e+01,5.068731e+01,4.852315e+01,3.889846e+01,2.029552e-02,2.000000e-02
9.195980e-01,6.301119e+01,5.272928e+01,4.514680e+01,3.859995e+01,2.029552e-02,2.000000e-02
9.246231e-01,5.787672e+01,5.526787e+01,4.210611e+01,3.798472e+01,2.029552e-02,2.000000e-02
9.296482e-01,4.872462e+01,5.436896e+01,3.942044e+01,3.709853e+01,2.029552e-02,2.000000e-02
9.346734e-01,4.305671e+01,5.433643e+01,3.709274e+01,3.599581e+01,2.029552e-02,2.000000e-02
9.396985e-01,3.603382e+01,5.238743e+01,3.511464e+01,3.473418e+01,2.029552e-02,2.000000e-02
9.447236e-01,3.003367e+01,5.086551e+01,3.346891e+01,3.336832e+01,2.029552e-02,2.000000e-02
9.497488e-01,2.941317e+01,4.893028e+01,3.213260e+01,3.194547e+01,2.029552e-02,2.000000e-02
9.547738e-01,2.542084e+01,4.424276e+01,3.108004e+01,3.050231e+01,2.029552e-02,2.000000e-02
9.597990e-01,2.264647e+01,4.272854e+01,3.028587e+01,2.906477e+01,2.029552e-02,2.000000e-02
9.648241e-01,2.099437e+01,3.942659e+01,2.972709e+01,2.764982e+01,2.029552e-02,2.000000e-02
9.698492e-01,1.923260e+01,3.714928e+01,2.938457e+01,2.626860e+01,2.029552e-02,2.000000e-02
9.748743e-01,1.817927e+01,3.356110e+01,2.924342e+01,2.493015e+01,2.029552e-02,2.000000e-02
9.798995e-01,1.737159e+01,3.242874e+01,2.929311e+01,2.364428e+01,2.029552e-02,2.000000e-02
9.849246e-01,1.862087e+01,2.980737e+01,2.952710e+01,2.242371e+01,2.029552e-02,2.000000e-02
9.899497e-01,1.708780e+01,2.675247e+01,2.994254e+01,2.128394e+01,2.029552e-02,2.000000e-02
9.949749e-01,1.667682e+01,2.532960e+01,3.053978e+01,2.024168e+01,2.029552e-02,2.000000e-02
1.000000e+00,1.808427e+01,2.179620e+01,3.132171e+01,1.931234e+01,2.029552e-02,2.000000e-02
